Description,Price,Rating,Product URL
"ZEBRONICS Zeb-Dash Plus 2.4 GHz Wireless Mouse with USB Nano Receiver, 4 Buttons, Power Saving Mode, for PC/Mac/Laptops (Black)",₹249,3.5 out of 5 stars,https://www.amazon.in/ZEBRONICS-Zeb-Dash-Wireless-Receiver-Buttons/dp/B08YDFX7Y1/ref=sr_1_15?dchild=1&keywords=wireless+mouse&qid=1627296220&sr=8-15
"iBall Free Go G50 Feather-Light Wireless Optical Mouse with Wide Compatibility, Black",₹550,4.1 out of 5 stars,https://www.amazon.in/iBall-G50-Feather-Light-Wireless-Compatibility/dp/B07TM5ZVVF/ref=sr_1_16?dchild=1&keywords=wireless+mouse&qid=1627296220&sr=8-16
iBall FreeGo G20 Wireless Optical Mouse (Black),₹444,4.0 out of 5 stars,https://www.amazon.in/iBall-FreeGo-G20-Wireless-Optical/dp/B07TGKJR4X/ref=sr_1_17?dchild=1&keywords=wireless+mouse&qid=1627296220&sr=8-17
Zoook Blade Wireless Mouse - Rechargeable 7 Colour Mouse (Rose Gold),₹540,3.6 out of 5 stars,https://www.amazon.in/Zoook-Blade-Wireless-Mouse-Rechargeable/dp/B09372FFG3/ref=sr_1_18?dchild=1&keywords=wireless+mouse&qid=1627296220&sr=8-18
"Optical 6Keys Wireless Gamming Mouse - Adjustable DPI 800/1200/1600, Ergonomic Design, for Home Office Use (Black)",₹449,4.0 out of 5 stars,https://www.amazon.in/Optical-6Keys-Wireless-Gamming-Mouse/dp/B097NG2T3Q/ref=sr_1_19?dchild=1&keywords=wireless+mouse&qid=1627296220&sr=8-19
"HARRY & JAMES® Wireless Mouse for Laptops, 2.4Ghz Portable Slim Optical Mouse, 3-Level Adjustable DPI Compatible for Computer, MacBook, Wireless Mouse for Desktop (Multicolor)",₹249,,https://www.amazon.in/HARRY-Wireless-Adjustable-Compatible-Multicolor/dp/B0995VH5RC/ref=sr_1_20?dchild=1&keywords=wireless+mouse&qid=1627296220&sr=8-20
AmazonBasics Compact Ergonomic Wireless PC Mouse with Fast Scrolling - Black,"₹1,139",3.9 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A076407917U5XAQ2WFKYI&url=%2FAmazonBasics-Compact-Ergonomic-Wireless-Scrolling%2Fdp%2FB078F698CQ%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296220%26smid%3DAT95IG9ONZD7S%26sr%3D8-21-spons%26psc%3D1&qualifier=1627296220&id=4819629494670826&widgetName=sp_btf
"Lenovo 600 Bluetooth® Silent Mouse: Compact, Portable, Dongle-Free Multi-Device connectivity via Bluetooth® 5.0 with Microsoft Swift Pair | 3-Level Adjustable DPI up to 2400 | Battery life: up to 1 yr","₹1,499",4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0490251VSAMQTS5XJ2H&url=%2FLenovo-600-Bluetooth%25C2%25AE-Silent-Mouse%2Fdp%2FB08LW31NQ6%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296220%26smid%3DA14CZOWI0VEHLG%26sr%3D8-22-spons%26psc%3D1&qualifier=1627296220&id=4819629494670826&widgetName=sp_btf
"Lenovo 530 Wireless Mouse (Graphite): Ambidextrous, Ergonomic Mouse, Up to 8 Million clicks for Left and Right Buttons, Optical Sensor 1200 DPI, 2.4 GHz Wireless Technology via Nano USB Receiver",₹749,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05744452RRC3HUIV6Z56&url=%2FLenovo-530-Wireless-Mouse-Graphite%2Fdp%2FB08D6VD9TR%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296225%26smid%3DA14CZOWI0VEHLG%26sr%3D8-17-spons%26psc%3D1&qualifier=1627296225&id=4642553725408210&widgetName=sp_atf_next
"HP Wireless Bluetooth Mouse 250 for PCs and Laptops, Adjustable DPI, Security Encryption, High-Resolution Optical Sensor, and Ergonomic Comfort, Black (6CR73AA)",₹849,4.2 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03529343IH2KKITL3DBJ&url=%2FHP-250-Bluetooth-Mouse-6CR73AA%2Fdp%2FB084XM5N9W%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296225%26sr%3D8-18-spons%26psc%3D1&qualifier=1627296225&id=4642553725408210&widgetName=sp_atf_next
"2.4 G Wireless Foldable Arc Optical Mice,3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip for All Laptop/Notebook/PC",₹499,,https://www.amazon.in/Wireless-clickable-Ambidextrous-Ergonomic-Comfortable/dp/B097SVM7S3/ref=sr_1_19?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-19
Philips SPK7314 Wireless Mouse Black,₹569,4.4 out of 5 stars,https://www.amazon.in/Philips-SPK7314-Wireless-Mouse-Black/dp/B07QPPVYQ6/ref=sr_1_20?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-20
Dell MS116 1000DPI USB Wired Optical Mouse,₹249,4.4 out of 5 stars,https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_21?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-21
